'Transaction_ID', 'User_ID', 'Merchant_Name', 'Txn_Category', 'Amt', 'Approved_Amt', 'Rejected_Amt', 'Txn_Type', 'Txn_Wallet', 'Txn_Status', 'Bill_Uploaded_Date', 'Claim_Raised_Date', 'Bill_Approved_Date', 'Rejection_Reason', 'Txn_Year', 'Txn_Month', 'Txn_Date', 'Rebate_Eligibility', 'Fuel_Surcharge', 'Rebate_Amount', 'Type', 'Manual_Txn', 'Approval_Status', 'SubmittedAt', 'ReimbursedAt', 'CancelledAt'
"665005e7-e5d2-419f-bfea-3ef3da660465","3078ff95-fc4e-445a-94b9-71c0736edf41","Swiggy Bangalore Kain","Food/Provisions","0.0","163.0","0.0","DEBIT","FBA","SUCCESS","2022-08-27 08:44:21.725","1970-01-01 05:30:00.0","2022-08-30 17:07:01.115","","2022","AUGUST","2022-08-26","true","false","48.9","T","false","APPROVED","1970-01-01 05:30:00.0","1970-01-01 05:30:00.0","1970-01-01 05:30:00.0"
"1047e602-3513-49b0-9b22-67ff331c8b68","95741f52-7d37-4176-947a-3def3c34396c","Jiomart Bangalore Kain","Food/Provisions","0.0","1386.0","0.0","DEBIT","FBA","SUCCESS","2022-08-27 16:18:02.868","1970-01-01 05:30:00.0","2022-08-30 17:05:43.484","","2022","AUGUST","2022-08-26","true","false","277.2","T","false","APPROVED","1970-01-01 05:30:00.0","1970-01-01 05:30:00.0","1970-01-01 05:30:00.0"
"7b858563-30d5-4f6f-8642-88d6b38b255c","95741f52-7d37-4176-947a-3def3c34396c","Svk Filling Station Chennai Tnin","Fuel & Travel","0.0","459.0","0.0","DEBIT","FBA","SUCCESS","2022-08-27 20:41:50.895","1970-01-01 05:30:00.0","2022-08-30 17:01:14.866","","2022","AUGUST","2022-08-27","true","false","91.8","T","false","APPROVED","1970-01-01 05:30:00.0","1970-01-01 05:30:00.0","1970-01-01 05:30:00.0"
"08eacb3d-88cd-4ce0-b651-701d05be04aa","95741f52-7d37-4176-947a-3def3c34396c","Fipola Retail India Pvtbangalore Kain","Food/Provisions","0.0","146.0","0.0","DEBIT","FBA","SUCCESS","2022-08-28 09:19:37.019","1970-01-01 05:30:00.0","2022-08-30 16:56:07.141","","2022","AUGUST","2022-08-28","true","false","29.2","T","false","APPROVED","1970-01-01 05:30:00.0","1970-01-01 05:30:00.0","1970-01-01 05:30:00.0"
"b7decb10-19bd-4e0a-96a5-6c9fba8a8424","3078ff95-fc4e-445a-94b9-71c0736edf41","Idumban Service Stationchennai Tnin","Fuel & Travel","0.0","0.0","0.0","DEBIT","FBA","SUCCESS","1970-01-01 05:30:00.0","1970-01-01 05:30:00.0","1970-01-01 05:30:00.0","","2022","AUGUST","2022-08-28","true","false","0.0","T","false","BILL UPLOAD PENDING","1970-01-01 05:30:00.0","1970-01-01 05:30:00.0","1970-01-01 05:30:00.0"
"944e3f18-2207-49fa-91c8-719e3be83ef8","95741f52-7d37-4176-947a-3def3c34396c","T Mart Tiruvallur Tnin","Food/Provisions","0.0","0.0","0.0","DEBIT","TA","SUCCESS","1970-01-01 05:30:00.0","1970-01-01 05:30:00.0","1970-01-01 05:30:00.0","","2022","AUGUST","2022-08-28","false","false","0.0","T","false","BILL UPLOAD PENDING","1970-01-01 05:30:00.0","1970-01-01 05:30:00.0","1970-01-01 05:30:00.0"
"eff9861a-a473-4cfc-b638-0f192df19e9c","95741f52-7d37-4176-947a-3def3c34396c","T Mart Tiruvallur Tnin","Food/Provisions","0.0","218.0","0.0","DEBIT","FBA","SUCCESS","2022-08-28 21:50:35.566","1970-01-01 05:30:00.0","2022-08-30 16:56:46.298","","2022","AUGUST","2022-08-28","true","false","43.6","T","false","APPROVED","1970-01-01 05:30:00.0","1970-01-01 05:30:00.0","1970-01-01 05:30:00.0"
"d830809b-af30-4fa6-98c9-70e69cb16ffd","95741f52-7d37-4176-947a-3def3c34396c","Svk Filling Station Chennai Tnin","Fuel & Travel","0.0","0.0","0.0","DEBIT","FBA","SUCCESS","1970-01-01 05:30:00.0","1970-01-01 05:30:00.0","1970-01-01 05:30:00.0","","2022","AUGUST","2022-08-29","true","false","0.0","T","false","BILL UPLOAD PENDING","1970-01-01 05:30:00.0","1970-01-01 05:30:00.0","1970-01-01 05:30:00.0"
"a448f3e8-891c-45b9-9922-88836662566e","95741f52-7d37-4176-947a-3def3c34396c","Palrajan Stores Chennai Tnin","Food/Provisions","0.0","114.0","0.0","DEBIT","FBA","SUCCESS","2022-08-29 18:46:45.856","1970-01-01 05:30:00.0","2022-08-30 16:54:00.267","","2022","AUGUST","2022-08-29","true","false","22.8","T","false","APPROVED","1970-01-01 05:30:00.0","1970-01-01 05:30:00.0","1970-01-01 05:30:00.0"
"4cb125bc-68c0-4146-8415-b67deacd3b5d","3078ff95-fc4e-445a-94b9-71c0736edf41","Sim City Chennai Tnin","Gadgets","0.0","2400.0","0.0","DEBIT","FBA","SUCCESS","2022-08-30 12:51:16.631","1970-01-01 05:30:00.0","2022-08-30 16:53:21.582","","2022","AUGUST","2022-08-29","true","false","720.0","T","false","APPROVED","1970-01-01 05:30:00.0","1970-01-01 05:30:00.0","1970-01-01 05:30:00.0"
